"","Ensembl.Gene.ID","GeneSymbol","Initially Assigned Module Color","consensus.kMEblack","consensus.kMEblue","consensus.kMEbrown","consensus.kMEcyan","consensus.kMEgreen","consensus.kMEgreenyellow","consensus.kMEmagenta","consensus.kMEpink","consensus.kMEpurple","consensus.kMEred","consensus.kMEsalmon","consensus.kMEtan","consensus.kMEturquoise","consensus.kMEyellow"
"ENSMUSG00000000001","ENSMUSG00000000001","Gnai3","turquoise",0.302987586845647,-0.214771191313718,-0.173946361767316,0.336347881630535,-0.570638668802675,0.20129209992584,0.230795335216896,-0.663540987934002,-0.200404142836022,0.708750580828171,0.125600009290806,0.6328212600971,0.658883410851994,-0.615462205155067
"ENSMUSG00000000028","ENSMUSG00000000028","Cdc45","grey",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000037","ENSMUSG00000000037","Scml2","grey",-0.276762563678425,0.319798587681103,0.456439918799229,-0.403793816976506,0.558744224369515,-0.498510821251493,-0.33244136587364,0.395074435089447,0.45135800458685,-0.377317584699523,-0.456498457799746,-0.455664186605792,-0.534421366965329,0.512466623242949
"ENSMUSG00000000056","ENSMUSG00000000056","Narf","purple",-0.337985982759223,0.294320862732822,0.61957893546402,-0.422921654751361,0.439710267722708,-0.585062171689958,-0.200778064502821,0.355054929365728,0.73873277169249,-0.147851333574959,-0.550903879307254,-0.443059300864968,-0.53032418472272,0.529049373403427
"ENSMUSG00000000058","ENSMUSG00000000058","Cav2","grey",0.406807103359119,-0.41835953619206,-0.0340558351026177,0.554198427753137,-0.0982598785289444,0.081908686060694,0.4153899373951,-0.5213212574948,-0.299875901646065,0.449085192648049,0.291612218035923,0.542638876569409,0.15480182832921,-0.0344383166958036
"ENSMUSG00000000078","ENSMUSG00000000078","Klf6","turquoise",0.394790789852359,-0.363257089581446,-0.485209114235713,0.317850812543951,-0.435318759039921,0.473526010296966,0.38289256412329,-0.400837924333734,-0.30526855160309,0.451984597066688,0.364170804687592,0.374468734562825,0.571064479269993,-0.578701158061516
"ENSMUSG00000000085","ENSMUSG00000000085","Scmh1","grey",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000088","ENSMUSG00000000088","Cox5a","blue",-0.59389926975683,0.806418759441072,0.342567861319388,-0.714558849536889,0.256482364006213,-0.316222865918267,-0.746444197262623,0.574365180590266,0.462247288687223,-0.553828120207942,-0.571794173113906,-0.540564109094193,-0.150041179457682,0.133662758251194
"ENSMUSG00000000093","ENSMUSG00000000093","Tbx2","grey",0.248873697882803,-0.245756094699698,-0.152346112265616,0.184214087028894,0,0.0939175949582414,0.20947731973193,-0.0154308157423297,-0.195722708619176,0,0.207243993129672,0.0451706165633246,0,0
"ENSMUSG00000000120","ENSMUSG00000000120","Ngfr","grey",0.412958965093484,-0.390796406065283,-0.327125502743953,0.310095200826062,-0.0904181512950628,0.301338758970342,0.438249297223867,-0.10220246374982,-0.279629579738849,0.144217425537733,0.397015982459164,0.0712311579990634,0,-0.0483405253887223
